x1,y1,x2,y2,x3,y3,x4,y4
265.192,1238.37,274.504,1119.16,164.698,1120.73,152,1240
378.365,1236.75,384.292,1117.59,274.504,1119.16,265.192,1238.37
491.519,1235.12,494.062,1116.03,384.292,1117.59,378.365,1236.75
604.654,1233.5,603.814,1114.46,494.062,1116.03,491.519,1235.12
717.769,1231.87,713.548,1112.89,603.814,1114.46,604.654,1233.5
830.865,1230.25,823.263,1111.33,713.548,1112.89,717.769,1231.87
943.942,1228.62,932.961,1109.76,823.263,1111.33,830.865,1230.25
1057,1227,1042.64,1108.19,932.961,1109.76,943.942,1228.62
274.504,1119.16,283.276,1006.87,176.659,1008.38,164.698,1120.73
384.292,1117.59,389.875,1005.36,283.276,1006.87,274.504,1119.16
494.062,1116.03,496.458,1003.84,389.875,1005.36,384.292,1117.59
603.814,1114.46,603.023,1002.33,496.458,1003.84,494.062,1116.03
713.548,1112.89,709.571,1000.82,603.023,1002.33,603.814,1114.46
823.263,1111.33,816.103,999.307,709.571,1000.82,713.548,1112.89
932.961,1109.76,922.617,997.795,816.103,999.307,823.263,1111.33
1042.64,1108.19,1029.11,996.284,922.617,997.795,932.961,1109.76
283.276,1006.87,291.552,900.914,187.945,902.376,176.659,1008.38
389.875,1005.36,395.143,899.452,291.552,900.914,283.276,1006.87
496.458,1003.84,498.718,897.991,395.143,899.452,389.875,1005.36
603.023,1002.33,602.277,896.529,498.718,897.991,496.458,1003.84
709.571,1000.82,705.819,895.068,602.277,896.529,603.023,1002.33
816.103,999.307,809.346,893.607,705.819,895.068,709.571,1000.82
922.617,997.795,912.857,892.146,809.346,893.607,816.103,999.307
1029.11,996.284,1016.35,890.686,912.857,892.146,922.617,997.795
291.552,900.914,299.374,800.776,198.611,802.19,187.945,902.376
395.143,899.452,400.122,799.362,299.374,800.776,291.552,900.914
498.718,897.991,500.854,797.948,400.122,799.362,395.143,899.452
602.277,896.529,601.571,796.534,500.854,797.948,498.718,897.991
705.819,895.068,702.273,795.12,601.571,796.534,602.277,896.529
809.346,893.607,802.96,793.707,702.273,795.12,705.819,895.068
912.857,892.146,903.632,792.294,802.96,793.707,809.346,893.607
1016.35,890.686,1004.29,790.881,903.632,792.294,912.857,892.146
299.374,800.776,306.778,705.987,208.707,707.357,198.611,802.19
400.122,799.362,404.834,704.618,306.778,705.987,299.374,800.776
500.854,797.948,502.876,703.248,404.834,704.618,400.122,799.362
601.571,796.534,600.904,701.879,502.876,703.248,500.854,797.948
702.273,795.12,698.917,700.51,600.904,701.879,601.571,796.534
802.96,793.707,796.915,699.142,698.917,700.51,702.273,795.12
903.632,792.294,894.9,697.773,796.915,699.142,802.96,793.707
1004.29,790.881,992.87,696.405,894.9,697.773,903.632,792.294
306.778,705.987,313.797,616.13,218.278,617.458,208.707,707.357
404.834,704.618,409.302,614.803,313.797,616.13,306.778,705.987
502.876,703.248,504.793,613.476,409.302,614.803,404.834,704.618
600.904,701.879,600.271,612.149,504.793,613.476,502.876,703.248
698.917,700.51,695.735,610.822,600.271,612.149,600.904,701.879
796.915,699.142,791.185,609.495,695.735,610.822,698.917,700.51
894.9,697.773,886.622,608.169,791.185,609.495,796.915,699.142
992.87,696.405,982.045,606.843,886.622,608.169,894.9,697.773
313.797,616.13,320.46,530.831,227.364,532.118,218.278,617.458
409.302,614.803,413.543,529.543,320.46,530.831,313.797,616.13
504.793,613.476,506.613,528.255,413.543,529.543,409.302,614.803
600.271,612.149,599.67,526.968,506.613,528.255,504.793,613.476
695.735,610.822,692.714,525.68,599.67,526.968,600.271,612.149
791.185,609.495,785.745,524.393,692.714,525.68,695.735,610.822
886.622,608.169,878.763,523.106,785.745,524.393,791.185,609.495
982.045,606.843,971.768,521.82,878.763,523.106,886.622,608.169
320.46,530.831,326.793,449.749,236,451,227.364,532.118
413.543,529.543,417.574,448.499,326.793,449.749,320.46,530.831
506.613,528.255,508.343,447.249,417.574,448.499,413.543,529.543
599.67,526.968,599.099,445.999,508.343,447.249,506.613,528.255
692.714,525.68,689.843,444.749,599.099,445.999,599.67,526.968
785.745,524.393,780.574,443.499,689.843,444.749,692.714,525.68
878.763,523.106,871.293,442.249,780.574,443.499,785.745,524.393
971.768,521.82,962,441,871.293,442.249,878.763,523.106
