x1,y1,x2,y2,x3,y3,x4,y4
308.8118,1499.2501,322.84833,1351.3514,184.24254,1351.0999,166.0,1499.0
451.60593,1499.5002,461.4375,1351.603,322.84833,1351.3514,308.8118,1499.2501
594.38245,1499.7502,600.0101,1351.8546,461.4375,1351.603,451.60593,1499.5002
737.14124,1500.0002,738.5659,1352.1061,600.0101,1351.8546,594.38245,1499.7502
879.8824,1500.2502,877.1052,1352.3575,738.5659,1352.1061,737.14124,1500.0002
1022.6059,1500.5002,1015.62787,1352.6091,877.1052,1352.3575,879.8824,1500.2502
1165.3118,1500.7501,1154.1339,1352.8605,1015.62787,1352.6091,1022.6059,1500.5002
1308.0,1501.0,1292.6233,1353.1119,1154.1339,1352.8605,1165.3118,1500.7501
322.84833,1351.3514,336.08194,1211.913,201.44148,1211.6604,184.24254,1351.0999
461.4375,1351.603,470.70673,1212.1655,336.08194,1211.913,322.84833,1351.3514
600.0101,1351.8546,605.3158,1212.418,470.70673,1212.1655,461.4375,1351.603
738.5659,1352.1061,739.9092,1212.6705,605.3158,1212.418,600.0101,1351.8546
877.1052,1352.3575,874.4868,1212.9229,739.9092,1212.6705,738.5659,1352.1061
1015.62787,1352.6091,1009.0488,1213.1753,874.4868,1212.9229,877.1052,1352.3575
1154.1339,1352.8605,1143.5951,1213.4277,1009.0488,1213.1753,1015.62787,1352.6091
1292.6233,1353.1119,1278.1257,1213.68,1143.5951,1213.4277,1154.1339,1352.8605
336.08194,1211.913,348.5796,1080.229,217.6839,1079.9761,201.44148,1211.6604
470.70673,1212.1655,479.46048,1080.482,348.5796,1080.229,336.08194,1211.913
605.3158,1212.418,610.3265,1080.735,479.46048,1080.482,470.70673,1212.1655
739.9092,1212.6705,741.1777,1080.9879,610.3265,1080.735,605.3158,1212.418
874.4868,1212.9229,872.01404,1081.2407,741.1777,1080.9879,739.9092,1212.6705
1009.0488,1213.1753,1002.8356,1081.4937,872.01404,1081.2407,874.4868,1212.9229
1143.5951,1213.4277,1133.6423,1081.7465,1002.8356,1081.4937,1009.0488,1213.1753
1278.1257,1213.68,1264.4342,1081.9993,1133.6423,1081.7465,1143.5951,1213.4277
348.5796,1080.229,360.40103,955.6703,233.04741,955.41724,217.6839,1079.9761
479.46048,1080.482,487.7406,955.9233,360.40103,955.6703,348.5796,1080.229
610.3265,1080.735,615.0661,956.1762,487.7406,955.9233,479.46048,1080.482
741.1777,1080.9879,742.3776,956.42914,615.0661,956.1762,610.3265,1080.735
872.01404,1081.2407,869.67505,956.68207,742.3776,956.42914,741.1777,1080.9879
1002.8356,1081.4937,996.95844,956.93494,869.67505,956.68207,872.01404,1081.2407
1133.6423,1081.7465,1124.2278,957.1878,996.95844,956.93494,1002.8356,1081.4937
1264.4342,1081.9993,1251.4832,957.4407,1124.2278,957.1878,1133.6423,1081.7465
360.40103,955.6703,371.59967,837.6735,247.6015,837.42084,233.04741,955.41724
487.7406,955.9233,495.58453,837.9262,371.59967,837.6735,360.40103,955.6703
615.0661,956.1762,619.5561,838.17883,495.58453,837.9262,487.7406,955.9233
742.3776,956.42914,743.5143,838.43146,619.5561,838.17883,615.0661,956.1762
869.67505,956.68207,867.4592,838.6841,743.5143,838.43146,742.3776,956.42914
996.95844,956.93494,991.3908,838.93665,867.4592,838.6841,869.67505,956.68207
1124.2278,957.1878,1115.3091,839.18915,991.3908,838.93665,996.95844,956.93494
1251.4832,957.4407,1239.2141,839.44165,1115.3091,839.18915,1124.2278,957.1878
371.59967,837.6735,382.22348,725.7337,261.40848,725.4816,247.6015,837.42084
495.58453,837.9262,503.02585,725.9857,382.22348,725.7337,371.59967,837.6735
619.5561,838.17883,623.81555,726.23773,503.02585,725.9857,495.58453,837.9262
743.5143,838.43146,744.59265,726.48975,623.81555,726.23773,619.5561,838.17883
867.4592,838.6841,865.3571,726.7417,744.59265,726.48975,743.5143,838.43146
991.3908,838.93665,986.10895,726.9936,865.3571,726.7417,867.4592,838.6841
1115.3091,839.18915,1106.8481,727.24554,986.10895,726.9936,991.3908,838.93665
1239.2141,839.44165,1227.5747,727.49744,1106.8481,727.24554,1115.3091,839.18915
382.22348,725.7337,392.3156,619.39594,274.52444,619.1448,261.40848,725.4816
503.02585,725.9857,510.0948,619.6471,392.3156,619.39594,382.22348,725.7337
623.81555,726.23773,627.86194,619.89825,510.0948,619.6471,503.02585,725.9857
744.59265,726.48975,745.61707,620.14935,627.86194,619.89825,623.81555,726.23773
865.3571,726.7417,863.36017,620.40045,745.61707,620.14935,744.59265,726.48975
986.10895,726.9936,981.0913,620.6515,863.36017,620.40045,865.3571,726.7417
1106.8481,727.24554,1098.8104,620.9025,981.0913,620.6515,986.10895,726.9936
1227.5747,727.49744,1216.5175,621.1535,1098.8104,620.9025,1106.8481,727.24554
392.3156,619.39594,401.915,518.25006,287.0,518.0,274.52444,619.1448
510.0948,619.6471,516.8186,518.5001,401.915,518.25006,392.3156,619.39594
627.86194,619.89825,631.71075,518.7502,516.8186,518.5001,510.0948,619.6471
745.61707,620.14935,746.5915,519.0002,631.71075,518.7502,627.86194,619.89825
863.36017,620.40045,861.46075,519.2502,746.5915,519.0002,745.61707,620.14935
981.0913,620.6515,976.3186,519.5001,861.46075,519.2502,863.36017,620.40045
1098.8104,620.9025,1091.165,519.75006,976.3186,519.5001,981.0913,620.6515
1216.5175,621.1535,1206.0,520.0,1091.165,519.75006,1098.8104,620.9025
