x1,y1,x2,y2,x3,y3,x4,y4
260,1089,269,990,169,987,155,1089
365,1091,373,990,278,989,268,1088
472,1093,478,990,383,989,375,1090
583,1093,586,990,490,989,485,1090
693,1095,694,991,596,989,593,1092
806,1097,803,990,703,989,702,1094
916,1099,911,990,814,989,816,1096
1036,1100,1025,989,919,990,926,1099
269,980,279,884,183,883,171,979
373,980,380,884,288,883,279,979
478,980,484,884,390,883,383,979
585,980,588,884,493,883,489,979
693,979,692,883,597,884,596,980
803,979,798,883,702,884,703,980
910,981,904,883,809,884,813,982
1025,981,1016,883,914,884,920,982
279,873,288,782,196,781,184,872
380,873,387,782,297,781,288,872
483,873,489,782,397,781,390,872
588,872,589,781,496,782,494,873
693,872,692,781,599,782,598,873
799,872,795,781,702,782,703,873
905,872,899,781,805,782,809,873
1016,873,1007,781,908,782,914,873
288,771,296,685,207,684,196,770
387,771,394,685,305,684,297,770
490,770,493,684,403,685,398,771
590,770,590,684,501,685,498,771
693,770,692,684,600,685,600,771
795,770,791,684,702,685,703,771
899,770,894,684,802,685,806,771
1007,770,999,684,903,685,909,771
296,675,304,593,219,592,208,674
394,675,400,593,314,592,305,674
495,674,498,592,409,593,405,675
592,673,592,592,506,593,503,675
693,674,692,592,602,593,602,675
792,674,788,592,702,593,703,675
894,674,889,592,798,593,802,675
999,674,991,592,898,593,904,675
304,584,311,511,229,511,219,583
400,584,406,509,321,510,313,583
498,584,502,507,416,508,410,583
592,584,594,506,511,506,506,583
692,584,693,504,604,505,602,583
789,583,785,501,702,504,703,584
890,583,884,500,795,502,799,584
991,583,982,498,893,500,899,584
311,504,319,428,239,428,229,504
406,502,412,426,328,427,320,503
501,500,505,425,422,425,416,501
594,499,596,423,516,424,511,499
693,496,692,421,605,423,605,499
785,495,783,420,703,420,702,496
884,494,881,418,793,419,795,494
983,491,975,416,889,418,894,493
319,419,326,346,249,346,239,419
411,417,417,344,335,345,328,418
505,415,507,342,427,344,423,417
595,414,597,341,520,341,515,415
692,413,693,339,607,340,605,413
782,411,780,338,703,338,702,411
880,409,877,336,790,337,792,410
975,407,968,334,885,336,890,409
